,time,pstate1,pstate2,pstate3,se1,se2,se3
66,65.0,0.44553819123960114,0.18135795334197893,0.3731038554184203,0.009572182253089374,0.008365319085299824,0.009516434378021313
67,66.0,0.4373810587840231,0.18301357239556248,0.37960536882041473,0.009572996773166177,0.008408119252036187,0.00957060843244499
68,67.0,0.4302736431529695,0.18256457307469837,0.3871617837723324,0.00957170126741038,0.008423514833314143,0.00963501790524629
69,68.0,0.42702648129198395,0.18066266429158653,0.3923108544164297,0.009572376545268376,0.00841216950334928,0.009679952004011004
70,69.0,0.42252371077009493,0.1808756558902412,0.3966006333396641,0.00957069112317155,0.008428224830895916,0.009713991683357926
71,70.0,0.41664839178344454,0.18106525477539684,0.40228635344115893,0.009567573351801646,0.008449242725994722,0.009758758332189352
72,71.0,0.4111678722127946,0.1791574158973126,0.40967471188989313,0.009561619999402362,0.008437603654790442,0.009812907953091143
73,72.0,0.4035642090652574,0.18173049539872493,0.41470529553601804,0.009554925850448207,0.008494269157378592,0.009848141151909654
74,73.0,0.3973964144725337,0.1813561111305796,0.4212474743968871,0.009542866201040789,0.008500345867756423,0.009890177754605883
75,74.0,0.3899933740358183,0.18245356216236247,0.4275530638018196,0.00952902535785153,0.008532701420913526,0.009930494148843545
76,75.0,0.38195095160868875,0.18144158626192686,0.4366074621293847,0.009508931348045752,0.008536357986610689,0.009986140584985127
77,76.0,0.37280230780341655,0.18069933422966525,0.4464983579669185,0.009487084676490306,0.00855371164874906,0.010047200143407192
78,77.0,0.3625048427702313,0.17969205958889847,0.4578030976408705,0.009451514561786884,0.008556306961686643,0.010104869849018868
79,78.0,0.35237560677028507,0.17957542546002186,0.4680489677696934,0.009417036430679981,0.008579689730865031,0.010157646770359206
80,79.0,0.34048975734092285,0.17490816747389168,0.48460207518518583,0.00936317243933298,0.008527028916160704,0.010226630308111462
81,80.0,0.3294289170622415,0.17333265528859162,0.49723842764916726,0.009314742604862035,0.008523622682363553,0.010275014351038619
82,81.0,0.31498382298299965,0.16589169277864058,0.5191244842383601,0.009238599497172447,0.00842330161756774,0.010333212886953306
83,82.0,0.30099483393514753,0.1600395509386337,0.5389656151262191,0.009160534477986943,0.008336962395203625,0.010368441958582185
84,83.0,0.2864330915720357,0.15328143815303194,0.5602854702749327,0.009072175066292465,0.008236680131407739,0.010388960890824165
85,84.0,0.27521791884529556,0.14712505676575957,0.5776570243889452,0.00899980015656354,0.0081317177408616,0.01039224584171968
86,85.0,0.2635685668393246,0.14379721811130577,0.5926342150493699,0.00891988599861982,0.00808313506059397,0.01038894203825813
87,86.0,0.2503943930246429,0.13856285853226885,0.6110427484430885,0.008820723625250864,0.00798325505155886,0.010368415982425648
88,87.0,0.24120716063432623,0.13301904457853453,0.6257737947871395,0.008750727945497578,0.007871994835814135,0.010336717558872503
89,88.0,0.23183703734553157,0.13129671753686525,0.6368662451176034,0.008672316064920532,0.007841237246894036,0.01031251089485139
90,89.0,0.2229277473321382,0.12572232219805043,0.6513499304698116,0.008592306196296348,0.007716870555254626,0.010260290016665593
